Sr No,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
0,TCS,Data Scientist,2,7.80,4.5,16,841
1,Accenture,Data Scientist,2,12.80,5.8,23,501
2,IBM,Data Scientist,2,13.40,5.3,25,394
3,Cognizant,Data Scientist,2,9.80,5,18,318
4,Capgemini,Data Scientist,2,8.60,4.8,14.6,300
5,Infosys,Data Scientist,2,9.30,4.5,24,228
6,Wipro,Data Scientist,2,9.70,4.5,18.2,225
7,Tech Mahindra,Data Scientist,2,7.60,4.1,15.4,218
8,Fractal Analytics,Data Scientist,2,15.90,10,23,166
9,Deloitte,Data Scientist,2,14.20,7,25,163
10,Ericsson,Data Scientist,3,14.60,6,26.9,152
11,HCL Technologies,Data Scientist,2,9.80,4.5,20.3,152
12,Amazon,Data Scientist,2,28.10,9.5,50,140
13,UnitedHealth,Data Scientist,2,14.80,8.3,21.5,120
14,Mu Sigma,Data Scientist,1,7.40,5,12,116
15,Ab Inbev,Data Scientist,2,20.60,15,26.2,116
16,L&T Infotech,Data Scientist,2,11.60,6.5,20.9,102
17,Tiger Analytics,Data Scientist,2,14.80,9,20,102
18,Optum,Data Scientist,2,16.60,11,22.5,101
19,Ernst & Young,Data Scientist,2,12.40,6.7,20,96
20,Mindtree,Data Scientist,2,10.60,4.8,18.7,94
21,Walmart,Data Scientist,2,28.30,17.8,41,85
22,DXC Technology,Data Scientist,2,10.00,4.4,15.5,83
23,Microsoft Corporation,Data Scientist,1,32.10,13,60,81
24,Genpact,Data Scientist,2,12.20,5.5,20,74
25,Hewlett-Packard Enterprise,Data Scientist,2,16.60,7.1,26.5,70
26,Ford Motor,Data Scientist,2,14.40,10,20,64
27,Reliance jio,Data Scientist,1,15.60,5.6,30,61
28,Verizon,Data Scientist,3,14.20,9.9,21.8,58
29,IQVIA,Data Scientist,2,11.40,6.9,22,58
30,Shell,Data Scientist,3,20.90,13.5,27,57
31,PayPal,Data Scientist,3,27.70,15,45,57
32,JP Morgan Chase,Data Scientist,2,20.50,12,31,56
33,EXL Service,Data Scientist,1,14.00,7.6,21,55
34,American Express,Data Scientist,2,17.70,10.8,26,48
35,Vodafone Idea,Data Scientist,2,13.40,6,20,45
36,HDFC Bank,Data Scientist,0,15.30,9,22.2,44
37,Great Learning,Data Scientist,0,9.30,7,13.8,44
38,Reliance Industries,Data Scientist,1,10.40,6,21,42
39,ZS,Data Scientist,1,16.90,10,25,42
40,Oracle,Data Scientist,2,16.30,6.5,39,42
41,Novartis Healthcare,Data Scientist,2,21.90,9,36,41
42,TheMathCompany,Data Scientist,2,10.50,6,16,41
43,PwC,Data Scientist,2,12.60,7.5,20,41
44,SAP,Data Scientist,2,17.40,11,26,40
45,Legato Health Technologies,Data Scientist,1,14.30,9,21,39
46,Impact Analytics,Data Scientist,0,9.00,7,13,38
47,Innominds Software,Data Scientist,1,10.70,6.5,15.2,37
48,Flipkart,Data Scientist,0,23.20,14.7,42,37
49,Innodatatics,Data Scientist,0,4.50,2,7,37
50,KPMG,Data Scientist,2,14.10,9,20,36
51,NTT DATA,Data Scientist,2,7.70,5,17.2,36
52,HSBC,Data Scientist,2,14.10,8.5,23.9,36
53,Societe Generale,Data Scientist,1,18.20,7.4,26,35
54,Mphasis,Data Scientist,2,8.90,5.2,15,35
55,Mercedes-Benz Research & Development India,Data Scientist,2,14.10,8.2,21,34
56,BEPEC Solutions,Data Scientist,1,4.90,3,7,34
57,Brillio,Data Scientist,1,16.00,9,24,33
58,ABC,Data Scientist,2,19.20,6.5,35,32
59,WNS,Data Scientist,1,11.40,7.2,17,32
60,Hexaware Technologies,Data Scientist,0,9.70,4.5,19,32
61,International School of Engineering,Data Scientist,1,10.50,5.4,16.3,31
62,Wells Fargo India,Data Scientist,2,15.40,5.5,31.2,31
63,Kyndryl,Data Scientist,3,14.10,6,30,31
64,eClerx,Data Scientist,2,9.30,6,16.7,30
65,DBS Bank,Data Scientist,2,14.30,9,23.7,30
66,Cyient,Data Scientist,2,10.40,5,18.5,30
67,Nagarro,Data Scientist,1,12.10,7,18,29
68,Freelancer.com,Data Scientist,1,7.10,3,15,29
69,Cisco Systems,Data Scientist,2,19.00,12,32.5,28
70,Bajaj Finserv,Data Scientist,1,11.90,7.5,19.4,28
71,Dell,Data Scientist,1,17.00,8,27,27
72,Dunnhumby,Data Scientist,1,12.90,8.5,18,26
