Time,Temperature (°F),Temperature (°F),Temperature (°F),Dew Point (°F),Dew Point (°F),Dew Point (°F),Humidity (%),Humidity (%),Humidity (%),Wind Speed (mph),Wind Speed (mph),Wind Speed (mph),Pressure (in),Pressure (in),Pressure (in)
Dec,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
1,90,82,73,70,63.4,55,78,55,31,13,6,0,29.9,29.8,29.8
2,91,82,73,66,59.9,54,78,48.6,29,9,3.8,0,29.9,29.8,29.8
3,93,83.5,75,68,61.9,50,69,49.4,24,10,4.5,0,29.9,29.8,29.7
4,91,84.2,79,73,68.9,64,83,60.7,41,9,3.8,0,29.9,29.8,29.8
5,93,84.7,81,73,71.8,68,79,65.3,46,12,4.1,0,29.9,29.8,29.8
6,93,84.7,79,73,70.3,64,78,62.7,38,13,4.3,0,29.9,29.8,29.8
7,91,83.6,77,75,69,64,83,62.3,41,12,4.7,0,29.9,29.8,29.8
8,90,82.9,75,70,64.2,57,70,54,38,9,6.5,0,29.9,29.8,29.8
9,90,79.3,72,61,53.6,39,61,42.6,18,12,6.2,0,29.9,29.8,29.7
10,91,80.7,72,63,54.5,39,61,42.7,16,12,5.4,0,29.9,29.8,29.7
11,90,82.7,73,61,55.9,50,51,40.2,29,10,4.9,0,29.9,29.8,29.7
12,93,85,79,75,68.3,59,74,57.7,43,10,5.6,0,29.9,29.8,29.7
13,93,86.3,82,73,69.9,66,70,58.1,43,10,6,0,29.9,29.8,29.7
14,91,85.6,81,75,70,66,74,60,46,13,6.6,0,29.9,29.8,29.8
15,93,84.3,81,72,69.5,64,74,61.5,38,13,5.4,0,29.9,29.8,29.8
16,93,85.6,79,73,70,66,78,59.9,41,12,5.7,0,29.9,29.8,29.7
17,90,83.9,81,70,69.5,66,70,62.2,49,10,5.4,0,29.9,29.9,29.8
